source_db_id,n_workchains,n_finished,n_finished_ok,n_finished_with_energy,max_submitted_kindex,medium_kindex,well_kindex,ultra_kindex,ultra_converged,max_finished_kindex,ultra_k_mesh,ultra_energy_per_atom,ultra_oscillation_meV_per_atom,ultra_pk
S1003480,7,7,7,7,6,2.0,2.0,3.0,True,6.0,"[3, 2, 1]",-2208.389070342125,0.9726861749186355,387118.0
S1003496,3,3,3,3,2,0.0,0.0,0.0,True,2.0,"[1, 1, 1]",-1022.987165476125,0.2966564375128655,387409.0
S1003497,3,3,3,3,2,0.0,0.0,0.0,True,2.0,"[1, 1, 1]",-1035.4676702705,0.48183512512878224,387513.0
S1003501,6,6,6,6,5,1.0,1.0,3.0,True,5.0,"[3, 3, 2]",-1040.8354068976666,0.12024908346575103,387593.0
S1003514,6,6,6,6,5,2.0,2.0,3.0,True,5.0,"[3, 3, 2]",-1155.0989953172307,0.11305526913929498,387689.0
S1003519,3,3,3,3,2,0.0,0.0,0.0,True,2.0,"[1, 1, 1]",-1765.9521155063235,0.745381676551915,387734.0
S1003535,10,10,10,10,9,4.0,4.0,6.0,True,9.0,"[4, 4, 4]",-816.9138567274285,0.650389428528797,387827.0
S1003542,5,5,5,5,4,1.0,2.0,2.0,True,4.0,"[2, 2, 2]",-756.013667809125,0.32355200005440565,387931.0
S1003546,10,10,10,10,9,2.0,3.0,6.0,True,9.0,"[2, 1, 6]",-2169.546044312674,0.8672316307638539,388028.0
S1003548,9,9,9,9,8,4.0,5.0,6.0,True,8.0,"[2, 2, 6]",-1485.6421791924665,0.829666133313367,388159.0
S1003549,12,12,12,12,11,4.0,5.0,9.0,True,11.0,"[3, 3, 8]",-1431.8360850097001,0.3105978664734721,388339.0
S1003554,6,6,6,6,5,1.0,1.0,2.0,True,5.0,"[2, 2, 2]",-1726.0234203429545,0.9760069544881844,388410.0
S1003576,9,9,9,9,8,6.0,6.0,6.0,True,8.0,"[2, 5, 2]",-1173.455781516857,0.197050000224408,388541.0
S1003577,8,8,8,8,7,3.0,4.0,5.0,True,7.0,"[2, 2, 5]",-970.97314195955,0.4029067998772007,388640.0
S1003578,9,9,9,9,8,3.0,3.0,6.0,True,8.0,"[2, 6, 1]",-2070.406747539977,0.540767204711301,388750.0
S1003633,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[1, 1, 3]",-889.193714167921,0.4346138683786194,388850.0
S1003643,8,8,8,8,7,2.0,3.0,4.0,True,7.0,"[4, 4, 2]",-1007.3711964817728,0.4196145907826576,388951.0
S1003644,8,8,8,8,7,2.0,2.0,3.0,True,7.0,"[3, 3, 2]",-966.6587050679092,0.6320774090227133,389064.0
S1003647,16,16,16,16,15,6.0,9.0,13.0,True,15.0,"[4, 4, 11]",-1073.2493153490555,0.17577511107447208,389241.0
S1003656,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[2, 2, 2]",-935.5791418583077,0.34882180761997006,389369.0
S1003668,6,6,6,6,5,2.0,3.0,3.0,True,5.0,"[3, 3, 2]",-960.102967951,0.26078071425672533,389444.0
S1003675,5,5,5,5,4,1.0,1.0,2.0,True,4.0,"[2, 2, 2]",-1766.3678969049615,0.5965281538919953,389514.0
S1003683,5,5,5,5,4,0.0,1.0,2.0,True,4.0,"[2, 2, 2]",-753.6312921686458,0.07847183326248341,389584.0
S1003691,5,5,5,5,4,2.0,2.0,2.0,True,4.0,"[2, 2, 2]",-656.443084003,0.8011323845948937,389648.0
